Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,0.051790,0.056005,0.051576,0.053467,0.053467,3138701
2021-01-02,0.053468,0.055104,0.050731,0.051251,0.051251,3542274
2021-01-03,0.051259,0.058431,0.050281,0.056852,0.056852,5555530
2021-01-04,0.056861,0.066474,0.051550,0.057050,0.057050,7364713
2021-01-05,0.057160,0.062758,0.056361,0.062113,0.062113,5674451
2021-01-06,0.062132,0.075739,0.059580,0.073057,0.073057,9894039
2021-01-07,0.073078,0.083343,0.066360,0.071012,0.071012,9659948
2021-01-08,0.071021,0.080804,0.060778,0.071690,0.071690,9141271
2021-01-09,0.071216,0.080298,0.069744,0.072796,0.072796,7105051
2021-01-10,0.072871,0.077583,0.062906,0.070097,0.070097,6789922
2021-01-11,0.070026,0.070026,0.053566,0.060686,0.060686,6099908
2021-01-12,0.060605,0.064021,0.056578,0.058645,0.058645,4270904
2021-01-13,0.058645,0.066866,0.056252,0.066275,0.066275,5318014
2021-01-14,0.066279,0.078450,0.064557,0.076997,0.076997,7026864
2021-01-15,0.076970,0.090407,0.066829,0.088074,0.088074,17446915
2021-01-16,0.088087,0.092252,0.081295,0.084764,0.084764,12264788
2021-01-17,0.084649,0.103247,0.076199,0.095033,0.095033,16145624
2021-01-18,0.095017,0.100032,0.090862,0.096948,0.096948,8931639
2021-01-19,0.096818,0.103916,0.090283,0.091676,0.091676,11029560
2021-01-20,0.091419,0.098900,0.081857,0.092225,0.092225,9526178
2021-01-21,0.092141,0.092600,0.078762,0.080596,0.080596,7438678
2021-01-22,0.080474,0.095311,0.074177,0.089892,0.089892,9687366
2021-01-23,0.089714,0.093628,0.085219,0.089379,0.089379,6777163
2021-01-24,0.089411,0.093852,0.083481,0.089084,0.089084,8154433
2021-01-25,0.088355,0.091161,0.081030,0.082669,0.082669,6788609
2021-01-26,0.082619,0.098785,0.080378,0.095198,0.095198,10383767
2021-01-27,0.095079,0.103188,0.082464,0.090095,0.090095,12295284
2021-01-28,0.090310,0.095939,0.088112,0.089372,0.089372,7432931
2021-01-29,0.091014,0.114367,0.088983,0.110001,0.110001,17312276
2021-01-30,0.111377,0.118705,0.103012,0.104636,0.104636,12074397
2021-01-31,0.104632,0.105075,0.095987,0.098384,0.098384,8119189
2021-02-01,0.098214,0.112803,0.095288,0.108769,0.108769,11995859
2021-02-02,0.108766,0.111859,0.105576,0.109757,0.109757,8907728
2021-02-03,0.109844,0.158757,0.109796,0.157545,0.157545,40906404
2021-02-04,0.158037,0.158037,0.131371,0.148555,0.148555,23347703
2021-02-05,0.148543,0.187907,0.147723,0.179934,0.179934,33859448
2021-02-06,0.180101,0.180101,0.152408,0.170244,0.170244,25401871
2021-02-07,0.170252,0.188060,0.160361,0.181976,0.181976,23286988
2021-02-08,0.182039,0.226990,0.179355,0.214350,0.214350,54125221
2021-02-09,0.213772,0.269921,0.207900,0.251642,0.251642,46597630
2021-02-10,0.251171,0.275704,0.210601,0.239144,0.239144,36029300
2021-02-11,0.239598,0.255413,0.223471,0.235247,0.235247,28000052
2021-02-12,0.235247,0.269350,0.224633,0.251913,0.251913,30262829
2021-02-13,0.252090,0.285995,0.228792,0.264447,0.264447,38862712
2021-02-14,0.264415,0.286427,0.235999,0.248601,0.248601,30136793
2021-02-15,0.248311,0.274746,0.193989,0.239249,0.239249,33034159
2021-02-16,0.239259,0.254759,0.217275,0.226953,0.226953,17931246
2021-02-17,0.226918,0.248272,0.210187,0.235643,0.235643,15000691
2021-02-18,0.235533,0.325154,0.235533,0.305979,0.305979,90314499
2021-02-19,0.306550,0.316685,0.277040,0.292111,0.292111,43664895
2021-02-20,0.292465,0.318721,0.263994,0.289612,0.289612,48035649
2021-02-21,0.289699,0.316275,0.279265,0.296631,0.296631,38460329
2021-02-22,0.296622,0.298746,0.224693,0.274618,0.274618,43318656
2021-02-23,0.276104,0.276609,0.177808,0.223133,0.223133,37327997
2021-02-24,0.223489,0.267824,0.208017,0.232880,0.232880,24004028
2021-02-25,0.232933,0.261756,0.225197,0.225750,0.225750,19981212
2021-02-26,0.227008,0.242194,0.200273,0.224658,0.224658,20312650
2021-02-27,0.225315,0.290180,0.225315,0.274336,0.274336,41364966
2021-02-28,0.275596,0.278177,0.224417,0.244820,0.244820,25092766
2021-03-01,0.246244,0.287721,0.243941,0.278743,0.278743,24489677
2021-03-02,0.279338,0.315880,0.270241,0.311803,0.311803,32229719
2021-03-03,0.311818,0.363217,0.301852,0.362379,0.362379,49578534
2021-03-04,0.361471,0.371795,0.317240,0.323663,0.323663,43002956
2021-03-05,0.323752,0.400074,0.302697,0.375907,0.375907,74321141
2021-03-06,0.374236,0.406875,0.349732,0.385324,0.385324,35498569
2021-03-07,0.383645,0.387674,0.353261,0.373539,0.373539,23455025
2021-03-08,0.374150,0.447000,0.369141,0.442640,0.442640,60829057
2021-03-09,0.443289,0.485091,0.426762,0.430197,0.430197,58922640
2021-03-10,0.428844,0.493675,0.396852,0.456038,0.456038,60433168
2021-03-11,0.455846,0.469245,0.417150,0.440808,0.440808,43455558
2021-03-12,0.440262,0.541780,0.432790,0.526896,0.526896,82447284
2021-03-13,0.527810,0.643949,0.502290,0.617852,0.617852,106699192
2021-03-14,0.620511,0.751562,0.611556,0.690360,0.690360,136583145
2021-03-15,0.687803,0.718097,0.587744,0.654638,0.654638,80837028
2021-03-16,0.647666,0.651048,0.564256,0.615515,0.615515,73932464
2021-03-17,0.615835,0.680974,0.596422,0.658623,0.658623,57188450
2021-03-18,0.657904,0.665224,0.585549,0.596237,0.596237,53636093
2021-03-19,0.596056,0.649769,0.572498,0.604378,0.604378,56385057
2021-03-20,0.604858,0.641749,0.587640,0.588415,0.588415,39161548
2021-03-21,0.587564,0.649797,0.530771,0.642389,0.642389,57308919
2021-03-22,0.641252,0.773395,0.597807,0.679633,0.679633,126995157
2021-03-23,0.678199,0.714546,0.601596,0.630567,0.630567,61502611
2021-03-24,0.631014,0.727297,0.614797,0.625256,0.625256,51500557
2021-03-25,0.623606,0.643655,0.563018,0.609830,0.609830,44274573
2021-03-26,0.610351,0.729644,0.609043,0.699284,0.699284,61089118
2021-03-27,0.701629,0.815668,0.670100,0.788131,0.788131,77888225
2021-03-28,0.788723,0.861325,0.752638,0.780306,0.780306,89463240
2021-03-29,0.781061,0.846774,0.753543,0.820562,0.820562,63402866
2021-03-30,0.820557,0.838547,0.768296,0.800746,0.800746,62472554
2021-03-31,0.809542,0.878505,0.722247,0.729925,0.729925,101654591
2021-04-01,0.728875,0.763144,0.691888,0.714352,0.714352,66359076
2021-04-02,0.713087,0.758830,0.688017,0.699626,0.699626,48760501
2021-04-03,0.697037,0.720149,0.637672,0.638628,0.638628,46554094
