Date,Open,High,Low,Close,Adj Close,Volume
2022-02-17,0.604345,0.615040,0.553024,0.559949,0.559949,37846113
2022-02-18,0.559961,0.578521,0.535336,0.538468,0.538468,28030362
2022-02-19,0.538422,0.549210,0.519229,0.532531,0.532531,21429468
2022-02-20,0.532472,0.532788,0.485505,0.491841,0.491841,28154325
2022-02-21,0.491703,0.512370,0.443624,0.444234,0.444234,39444076
2022-02-22,0.444133,0.469740,0.429766,0.469568,0.469568,31599729
2022-02-23,0.469540,0.485993,0.445582,0.445968,0.445968,25383430
2022-02-24,0.445745,0.446809,0.379697,0.433856,0.433856,44132964
2022-02-25,0.433974,0.457947,0.425814,0.452590,0.452590,29368929
2022-02-26,0.452654,0.465912,0.447341,0.449363,0.449363,20558763
2022-02-27,0.449352,0.460800,0.425604,0.429953,0.429953,23140077
2022-02-28,0.429992,0.481811,0.425455,0.481657,0.481657,29100535
2022-03-01,0.481660,0.505136,0.480191,0.494543,0.494543,33744944
2022-03-02,0.494414,0.504906,0.474048,0.497741,0.497741,36833611
2022-03-03,0.497709,0.503320,0.463991,0.469175,0.469175,26745136
2022-03-04,0.469232,0.492818,0.434860,0.438844,0.438844,35474965
2022-03-05,0.438921,0.453520,0.429949,0.448938,0.448938,19893043
2022-03-06,0.448954,0.453651,0.423333,0.423333,0.423333,18226967
2022-03-07,0.423336,0.441168,0.406123,0.421513,0.421513,22486700
2022-03-08,0.421469,0.441777,0.419502,0.437563,0.437563,21260575
2022-03-09,0.437625,0.469919,0.437625,0.463566,0.463566,24714755
2022-03-10,0.463377,0.469563,0.434950,0.449367,0.449367,29869627
2022-03-11,0.449288,0.463561,0.435866,0.442549,0.442549,23825621
2022-03-12,0.442541,0.461968,0.442031,0.451595,0.451595,15651252
2022-03-13,0.451602,0.473189,0.431692,0.434947,0.434947,27805853
2022-03-14,0.434928,0.442859,0.428393,0.441800,0.441800,20105647
2022-03-15,0.441817,0.455561,0.425342,0.444812,0.444812,22626371
2022-03-16,0.444791,0.474620,0.444652,0.471628,0.471628,36103828
2022-03-17,0.471636,0.476466,0.461824,0.463895,0.463895,20664880
2022-03-18,0.463857,0.481954,0.456719,0.481949,0.481949,26748127
2022-03-19,0.481855,0.535493,0.479068,0.519779,0.519779,49672258
2022-03-20,0.519698,0.522271,0.486091,0.497793,0.497793,32496080
2022-03-21,0.497805,0.718144,0.493200,0.610576,0.610576,366803374
2022-03-22,0.610958,0.645170,0.595299,0.597088,0.597088,137816533
