Date,Open,High,Low,Close,Adj Close,Volume
2022-02-17,0.370324,0.376490,0.332247,0.334137,0.334137,28928706
2022-02-18,0.334256,0.347529,0.326163,0.327825,0.327825,18056550
2022-02-19,0.327741,0.347712,0.319366,0.337557,0.337557,40479780
2022-02-20,0.336344,0.340067,0.298809,0.307550,0.307550,31094772
2022-02-21,0.307525,0.333675,0.276641,0.277184,0.277184,37177038
2022-02-22,0.277113,0.294658,0.262912,0.292394,0.292394,30006519
2022-02-23,0.292389,0.300544,0.273590,0.273602,0.273602,20137520
2022-02-24,0.273673,0.275621,0.228128,0.260937,0.260937,35209821
2022-02-25,0.260967,0.284488,0.258271,0.278789,0.278789,33308276
2022-02-26,0.278812,0.288471,0.274325,0.275928,0.275928,29294150
2022-02-27,0.275952,0.284761,0.253462,0.262669,0.262669,34799243
2022-02-28,0.262625,0.283276,0.260277,0.283208,0.283208,25821197
2022-03-01,0.283187,0.403704,0.282237,0.357493,0.357493,132666887
2022-03-02,0.359110,0.418884,0.334789,0.339235,0.339235,203295517
2022-03-03,0.339445,0.349308,0.315059,0.321630,0.321630,36173684
2022-03-04,0.321648,0.361815,0.308753,0.309879,0.309879,90762552
2022-03-05,0.309900,0.356410,0.303388,0.343814,0.343814,64444155
2022-03-06,0.343796,0.370796,0.315692,0.316282,0.316282,69853033
2022-03-07,0.316285,0.339050,0.307563,0.324944,0.324944,72255033
2022-03-08,0.324934,0.334523,0.317048,0.320353,0.320353,29530078
2022-03-09,0.320327,0.369549,0.319155,0.354794,0.354794,58051389
2022-03-10,0.354969,0.358956,0.319765,0.356458,0.356458,43284165
2022-03-11,0.356806,0.367390,0.337348,0.339888,0.339888,37297672
2022-03-12,0.339779,0.348122,0.335320,0.338281,0.338281,30012124
2022-03-13,0.338150,0.344502,0.315704,0.316616,0.316616,29178566
2022-03-14,0.316604,0.329097,0.313787,0.324856,0.324856,27780584
2022-03-15,0.324555,0.331479,0.316830,0.326694,0.326694,39748517
2022-03-16,0.326635,0.335072,0.316179,0.329088,0.329088,31930340
2022-03-17,0.329123,0.337586,0.324309,0.330155,0.330155,26659703
2022-03-18,0.330091,0.336774,0.320559,0.330993,0.330993,22568211
2022-03-19,0.330967,0.346411,0.330334,0.343398,0.343398,42338460
2022-03-20,0.343416,0.344706,0.322685,0.327268,0.327268,22698023
2022-03-21,0.327237,0.343529,0.322981,0.340214,0.340214,31594069
2022-03-22,0.340220,0.411753,0.339731,0.372171,0.372171,124235520
2022-03-23,0.372826,0.443947,0.359682,0.395918,0.395918,143500524
2022-03-24,0.396038,0.451917,0.396038,0.438227,0.438227,130280740
2022-03-25,0.438303,0.443883,0.404494,0.406175,0.406175,34639022
2022-03-26,0.406185,0.433172,0.399877,0.432481,0.432481,26921721
2022-03-27,0.432331,0.447171,0.416184,0.446617,0.446617,24945715
2022-03-28,0.446103,0.462518,0.430913,0.431067,0.431067,35181884
2022-03-29,0.430779,0.488394,0.430558,0.468994,0.468994,45805006
2022-03-30,0.468985,0.478763,0.452504,0.469542,0.469542,32949271
2022-03-31,0.469525,0.482534,0.442089,0.453996,0.453996,29648942
2022-04-01,0.454423,0.488080,0.431285,0.476652,0.476652,56425100
2022-04-02,0.476570,0.489649,0.460994,0.461236,0.461236,36009260
2022-04-03,0.461213,0.475760,0.457088,0.471035,0.471035,23845638
2022-04-04,0.470882,0.483903,0.450333,0.481569,0.481569,33143963
2022-04-05,0.481330,0.537449,0.479904,0.507294,0.507294,83606043
2022-04-06,0.507152,0.507787,0.441766,0.447730,0.447730,41051231
2022-04-07,0.447913,0.465715,0.436417,0.449645,0.449645,27990829
2022-04-08,0.449490,0.465151,0.399155,0.400940,0.400940,33064157
2022-04-09,0.401002,0.414652,0.392170,0.401568,0.401568,20320794
2022-04-10,0.401531,0.411729,0.377037,0.377037,0.377037,23815586
2022-04-11,0.376886,0.377965,0.336062,0.337154,0.337154,31357650
2022-04-12,0.337273,0.371015,0.332852,0.346302,0.346302,30671475
2022-04-13,0.346206,0.361887,0.338775,0.351894,0.351894,18081721
2022-04-14,0.351838,0.355963,0.329112,0.332753,0.332753,36176109
2022-04-15,0.332753,0.339819,0.328473,0.334289,0.334289,25412684
2022-04-16,0.334330,0.340103,0.329638,0.335437,0.335437,17391158
2022-04-17,0.335427,0.352834,0.328870,0.329446,0.329446,28899771
2022-04-18,0.329421,0.345205,0.312327,0.343520,0.343520,28513854
2022-04-19,0.343484,0.351780,0.337739,0.348254,0.348254,16623385
2022-04-20,0.348262,0.354070,0.332032,0.336644,0.336644,18316671
2022-04-21,0.336625,0.347778,0.319328,0.323440,0.323440,21412755
2022-04-22,0.323413,0.331624,0.317433,0.321771,0.321771,16581727
2022-04-23,0.321727,0.335025,0.316908,0.319694,0.319694,17369211
2022-04-24,0.319528,0.356294,0.317998,0.341472,0.341472,52596314
2022-04-25,0.341649,0.351223,0.322770,0.336639,0.336639,50908052
2022-04-26,0.336535,0.341889,0.302351,0.303204,0.303204,22847023
2022-04-27,0.303282,0.329159,0.302837,0.313131,0.313131,20754610
